Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
MB08-140,Emergency medical attention - off site,Major,26/08/08 6:05,MIDC,GSL-Maribyrnong,
MB08-141,Abusive / Aggressive behaviour - by client,Minor,26/08/08 9:47,Zone E Rec Area,GSL-Maribyrnong,
MB08-142,Assault - not occasioning bodily harm - Client on staff,Minor,28/08/08 10:00,Zone E Rec area,GSL-Maribyrnong,
MB08-143,Self harm - Attempted,Major,28/08/08 10:20,Zone E,GSL-Maribyrnong,
MB08-144,Abusive / Aggressive behaviour - by client,Minor,28/08/08 10:00,Zone D Dorm,GSL-Maribyrnong,
MB08-145,Removal - Aborted,Major,28/08/08 9:50,Interview room 1- Administration Corridor.,GSL-Maribyrnong,
MB08-146,Self harm - Attempted,Major,30/08/08 4:20,Visits Centre,GSL-Maribyrnong,
MB08-147,Demonstration - Outside Facility,Critical,31/08/08 11:30,"MIDC, Hampstead Road.",GSL-Maribyrnong,
MB08-148,Notification to State / Territory authorities,Minor,1/09/08 4:40,zONE a Room 2,GSL-Maribyrnong,
MB08-149,Assault - occasioning actual bodily harm - Client on client,Major,3/09/08 4:45,In the visits centre.,GSL-Maribyrnong,
MB08-150,Systems Failure,Major,5/09/08 7:30,Control room.,GSL-Maribyrnong,
MB08-151,Emergency medical attention - off site,Major,5/09/08 12:30,Medical- Nurses station.,GSL-Maribyrnong,
MB08-152,Notification to State / Territory authorities,Minor,5/09/08 7:12,Zone A room 3,GSL-Maribyrnong,
MB08-116,Emergency medical attention - on site,Major,25/06/08 7:35,Female Recreation Area,GSL-Maribyrnong,
MB08-117,Emergency medical attention - off site,Major,26/06/08 10:00,Medical room,GSL-Maribyrnong,
MB08-119,Use of instruments of restraint,Minor,3/07/08 10:25,On Court Hearing Escort,GSL-Maribyrnong,
MB08-118,Systems Failure,Major,3/07/08 9:15,MIDC Kitchen and Center,GSL-Maribyrnong,
MB08-120,Abusive / Aggressive behaviour - by client,Minor,7/07/08 3:35,"Zone A, Room A06.",GSL-Maribyrnong,
MB08-121,Damage to facility - Less serious,Minor,9/07/08 10:50,Interview room oppisite staff toilets.,GSL-Maribyrnong,
MB08-122,Systems Failure,Major,11/07/08 10:32,Control Room,GSL-Maribyrnong,
MB08-123,Abusive / Aggressive behaviour - by client,Minor,14/07/08 1:55,Nurses Station(Medical),GSL-Maribyrnong,
MB08-124,Marriage,Minor,17/07/08 12:00,Visits,GSL-Maribyrnong,
MB08-125,Systems Failure,Major,23/07/08 1:18,Control room MIDC,GSL-Maribyrnong,
MB08-126,Damage to facility - Less serious,Minor,25/07/08 4:15,Zone A,GSL-Maribyrnong,
MB08-127,Assault - occasioning actual bodily harm - Client on client,Major,27/07/08 12:58,Zone E Court yard,GSL-Maribyrnong,
MB08-128,Abusive / Aggressive behaviour - by client,Minor,28/07/08 9:54,Zone A Rec Area and Rm 06,GSL-Maribyrnong,
MB08-129,Abusive / Aggressive behaviour - by client,Minor,28/07/08 2:25,Zone A Rec Room,GSL-Maribyrnong,
MB08-131,Damage to facility - Less serious,Minor,29/07/08 6:50,Zone E games room,GSL-Maribyrnong,
MB08-132,"Prohibited article - Prohibited substance, suspected",Major,4/08/08 3:50,Visits Centre,GSL-Maribyrnong,
MB08-133,Use of force - By staff,Major,4/08/08 4:20,Zone C,GSL-Maribyrnong,
MB08-134,Abusive / Aggressive behaviour - by client,Minor,5/08/08 6:20,Visits area,GSL-Maribyrnong,
MB08-45,Property - theft,Minor,24/02/08 8:00,Zone C Room,GSL-Maribyrnong,
MB08-46,Abusive / Aggressive behaviour - by client,Minor,25/02/08 1:05,Visits Centre.,GSL-Maribyrnong,
MB08-47,Abusive / Aggressive behaviour - by client,Minor,25/02/08 4:10,Visits centre,GSL-Maribyrnong,
MB08-48,Emergency medical attention - off site,Major,25/02/08 7:45,Nurses Office,GSL-Maribyrnong,
MB08-49,Damage to facility - Less serious,Minor,26/02/08 12:12,Zone A Recreation Room,GSL-Maribyrnong,
MB08-50,Notification by State / Territory authorities,Minor,26/02/08 11:12,Zone E Games Room,GSL-Maribyrnong,
MB08-43,Disturbance - Minor,Minor,24/02/08 5:30,Visits,GSL-Maribyrnong,
MB08-44,Assault - not occasioning bodily harm - Client on client,Minor,24/02/08 7:51,Zone A Day Room,GSL-Maribyrnong,
MB08-52,Assault - not occasioning bodily harm - Client on client,Minor,1/03/08 5:54,Zone A Male Dormitory. Room 5.,GSL-Maribyrnong,
MB08-39,Use of instruments of restraint,Minor,19/02/08 8:55,On escort between MIDC and Dandenong Magistrates Court.,GSL-Maribyrnong,
MB08-40,Use of instruments of restraint,Minor,19/02/08 12:55,On escort between MIDC and Dandenong Magistrates Court.,GSL-Maribyrnong,
MB08-38,Assault - allegation / suspicion - Client on client,Major,17/02/08 8:15,Visits Centre.,GSL-Maribyrnong,
MB08-41,Notification to State / Territory authorities,Minor,20/02/08 12:41,Zone B Male Dormitory- Room 04,GSL-Maribyrnong,
MB08-42,Removal - Aborted,Major,21/02/08 3:20,Melbourne Airport,GSL-Maribyrnong,
MB08-53,Self Harm - Threatened,Major,7/03/08 8:30,IHMS medical office,GSL-Maribyrnong,
MB08-54,Damage to facility - Less serious,Minor,10/03/08 8:48,Zone A Corridor,GSL-Maribyrnong,
MB08-55,Notification to State / Territory authorities,Minor,11/03/08 1:46,Zone A Day Room,GSL-Maribyrnong,
MB08-56,Abusive / Aggressive behaviour - by client,Minor,11/03/08 4:15,Zone A Courtyard,GSL-Maribyrnong,
MB08-57,Public health risk - Less serious,Minor,12/03/08 2:40,Medical,GSL-Maribyrnong,
MB08-58,Emergency medical attention - off site,Major,12/03/08 10:40,"Hastings, Victoria",GSL-Maribyrnong,
MB08-59,Use of instruments of restraint,Minor,14/03/08 9:25,Reception/Property Area,GSL-Maribyrnong,
MB08-60,Abusive / Aggressive behaviour - by client,Minor,14/03/08 12:45,Zone D Rec area.,GSL-Maribyrnong,
MB08-61,Abusive / Aggressive behaviour - by client,Minor,14/03/08 5:25,Client's Dinning Room,GSL-Maribyrnong,
MB08-62,Self Harm - Threatened,Major,15/03/08 7:15,Nurses Station,GSL-Maribyrnong,
MB08-63,Use of instruments of restraint,Minor,17/03/08 10:42,MIDC property area,GSL-Maribyrnong,
MB08-64,Use of instruments of restraint,Minor,17/03/08 11:13,"Syncomb Imaging, 333 Ascot Vale Road Moonee ponds",GSL-Maribyrnong,
MB08-65,Notification to State / Territory authorities,Minor,21/03/08 2:50,Zone A Male Dormitory Room A03,GSL-Maribyrnong,
MB08-66,Prohibited article - other - found,Minor,21/03/08 4:15,Zone A Male Dormitory- Room 3,GSL-Maribyrnong,
MB08-67,Emergency medical attention - off site,Major,24/03/08 10:10,Nurses Station,GSL-Maribyrnong,
MB08-68,Abusive / Aggressive behaviour - by client,Minor,28/03/08 12:31,Zone D common room,GSL-Maribyrnong,
MB08-71,Self Harm - Threatened,Major,30/03/08 5:45,"Initially, toilet area room 29, secondary - Nurses station",GSL-Maribyrnong,
MB08-72,Systems Failure,Major,31/03/08 9:07,Control Room,GSL-Maribyrnong,
MB08-73,"Accident - To staff, minor",Minor,1/04/08 11:40,Old Control Room,GSL-Maribyrnong,
MB08-70,Prohibited article - other - brought in by visitor,Minor,30/03/08 1:35,Reception- Gate House,GSL-Maribyrnong,
MB08-74,Use of instruments of restraint,Minor,3/04/08 3:15,Melbourne International Airport- Customs arrival area.,GSL-Maribyrnong,
MB08-1,Abusive / Aggressive behaviour - by client,Minor,2/01/08 10:48,Zone A,GSL-Maribyrnong,
MB08-2,Emergency medical attention - off site,Major,5/01/08 11:00,Nurses Station(Medical centre),GSL-Maribyrnong,
MB08-4,Assault - occasioning actual bodily harm - Client on client,Major,9/01/08 10:27,Zone A Day Room,GSL-Maribyrnong,
MB08-3,Prohibited article - other - found,Minor,8/01/08 4:00,Property Office,GSL-Maribyrnong,
MB08-5,Abusive / Aggressive behaviour - by client,Minor,11/01/08 5:15,Zone A recreation area.,GSL-Maribyrnong,
MB08-6,Assault - allegation / suspicion - Client on client,Major,16/01/08 11:45,Zone B,GSL-Maribyrnong,
MB08-7,Systems Failure,Major,19/01/08 4:30,Control Room,GSL-Maribyrnong,
MB08-8,Notification to State / Territory authorities,Minor,22/01/08 9:08,Z7 Centre West Smoke Alarm/Found to be B.G.A outside Visits Door,GSL-Maribyrnong,
MB08-24,Assault - occasioning actual bodily harm - Client on client,Major,24/01/08 3:35,Zone B Dayroom,GSL-Maribyrnong,
MB08-25,Assault - not occasioning bodily harm - Client on client,Minor,27/01/08 12:45,Zone B,GSL-Maribyrnong,
MB08-26,Systems Failure,Major,2/02/08 9:30,Alll phones systems,GSL-Maribyrnong,
MB08-27,Assault - occasioning actual bodily harm - Client on client,Major,2/02/08 9:50,Zone E Rm51,GSL-Maribyrnong,
MB08-28,Emergency medical attention - off site,Major,2/02/08 11:07,Zone E Rm 51,GSL-Maribyrnong,
MB08-29,Prohibited article - other - found,Minor,6/02/08 4:40,Zone A2,GSL-Maribyrnong,
MB08-30,Assault - not occasioning bodily harm - Client on staff,Minor,8/02/08 2:02,Zone E Canteen Window,GSL-Maribyrnong,
MB08-31,Security keys unaccounted for or tampered with,Major,11/02/08 9:45,Staff Female Toilets on the Sanitary Bin,GSL-Maribyrnong,
MB08-32,Abusive / Aggressive behaviour - by client,Minor,11/02/08 12:10,Zone A Day Room,GSL-Maribyrnong,
MB08-33,Notification to State / Territory authorities,Minor,11/02/08 2:16,Zone 17 outside Zone B Entry,GSL-Maribyrnong,
MB08-34,Abusive / Aggressive behaviour - by client,Minor,15/02/08 1:10,Zone E Courtyard 1and Zone E Games Room,GSL-Maribyrnong,
MB08-36,Notification to State / Territory authorities,Minor,15/02/08 11:50,Zone B Day Room.,GSL-Maribyrnong,
MB08-37,Notification to State / Territory authorities,Minor,16/02/08 12:24,Zone B Male Dormitory Day Room,GSL-Maribyrnong,
MB08-35,"Theft [of non-client property] [eg Commonwealth, GSL, visitor or contractor property]",Minor,15/02/08 3:30,MIDC,GSL-Maribyrnong,
MB08-85,Abusive / Aggressive behaviour - by client,Minor,20/04/08 2:30,Zone A Rec Area,GSL-Maribyrnong,
MB08-86,Notification to State / Territory authorities,Minor,20/04/08 11:37,"East Zone, Zone E games room",GSL-Maribyrnong,
MB08-87,Property - Missing,Minor,23/04/08 1:30,"Proprty Office, MIDC",GSL-Maribyrnong,
MB08-81,Notification by State / Territory authorities,Minor,12/04/08 11:38,Zone A room 6,GSL-Maribyrnong,
MB08-83,Voluntary starvation - Under 24 hours,Minor,16/04/08 8:20,Zone E Courtyard,GSL-Maribyrnong,
MB08-84,Notification to State / Territory authorities,Minor,17/04/08 9:00,Kitchen corridor,GSL-Maribyrnong,
MB08-75,Food related,Minor,7/04/08 12:15,Zone B,GSL-Maribyrnong,
MB08-76,Abusive / Aggressive behaviour - by client,Minor,7/04/08 11:20,Zone E recreation room,GSL-Maribyrnong,
MB08-77,"Prohibited article - Prohibited substance, suspected",Major,8/04/08 8:10,"Room A 5, Zone A",GSL-Maribyrnong,
MB08-78,Disturbance - Minor,Minor,9/04/08 5:20,Zone A officers station.,GSL-Maribyrnong,
MB08-79,Assault - not occasioning bodily harm - Client on staff,Minor,9/04/08 2:30,IHMS medical rooms,GSL-Maribyrnong,
MB08-80,Media - Presence at facility,Major,12/04/08 3:35,MIDC front Reception,GSL-Maribyrnong,
MB08-82,Assault - allegation / suspicion - Client on client,Major,11/04/08 12:00,Male dorm MIDC,GSL-Maribyrnong,
MB08-88,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,27/04/08 5:43,"Visits area, MIDC",GSL-Maribyrnong,
MB08-89,Notification to State / Territory authorities,Minor,27/04/08 10:39,Zone A Rm 07,GSL-Maribyrnong,
MB08-90,Visits - Other visitor refused access,Minor,28/04/08 1:10,reception,GSL-Maribyrnong,
MB08-91,Visits - Other visitor refused access,Minor,28/04/08 5:40,Reception,GSL-Maribyrnong,
MB08-93,Visits - Other visitor refused access,Minor,3/05/08 3:05,Reception,GSL-Maribyrnong,
MB08-92,Emergency medical attention - off site,Major,1/05/08 2:21,Male Shower Block in Zone 'E',GSL-Maribyrnong,
MB08-94,Self Harm - Threatened,Major,6/05/08 4:25,MIDC,GSL-Maribyrnong,
MB08-95,Abusive / Aggressive behaviour - by client,Minor,6/05/08 5:50,Zone A DayRoom,GSL-Maribyrnong,
MB08-96,Visits - Other visitor refused access,Minor,7/05/08 10:00,Visitor Recpetion,GSL-Maribyrnong,
MB08-97,Damage to facility - Less serious,Minor,13/05/08 10:15,Education Corridor,GSL-Maribyrnong,
MB08-113,Abusive / Aggressive behaviour - by client,Minor,12/06/08 11:30,Interview Room 2,GSL-Maribyrnong,
MB08-114,Security keys unaccounted for or tampered with,Major,19/06/08 9:50,MIDC Key Cabinet,GSL-Maribyrnong,
MB08-115,Assault - not occasioning bodily harm - Client on client,Minor,22/06/08 5:10,Dining Room 1,GSL-Maribyrnong,
MB08-107,Emergency medical attention - off site,Major,2/06/08 11:15,Zone A Staff Office,GSL-Maribyrnong,
MB08-108,Escape from alternative place of detention - Attempted,Major,3/06/08 8:35,Whilst on Dental Escort Paisley St Footscray,GSL-Maribyrnong,
MB08-109,Assault - not occasioning bodily harm - Client on client,Minor,4/06/08 5:00,Zone A,GSL-Maribyrnong,
MB08-110,Abusive / Aggressive behaviour - by client,Minor,5/06/08 3:10,Zone 'A' Recreation Area.,GSL-Maribyrnong,
MB08-111,Notification by State / Territory authorities,Minor,6/06/08 11:15,Zone C corridor,GSL-Maribyrnong,
MB08-112,Damage to facility - Less serious,Minor,11/06/08 8:05,Zone E Games Room,GSL-Maribyrnong,
MB08-106,Removal - Aborted,Major,29/05/08 10:30,Melbourne International Airport,GSL-Maribyrnong,
MB08-105,Self Harm - Actual,Critical,28/05/08 8:18,Detainee Reception Area,GSL-Maribyrnong,
MB08-101,Abusive / Aggressive behaviour - by client,Minor,26/05/08 5:30,Dining Room 1,GSL-Maribyrnong,
MB08-102,Emergency medical attention - off site,Major,28/05/08 11:50,Zone A,GSL-Maribyrnong,
MB08-103,Abusive / Aggressive behaviour - by client,Minor,28/05/08 12:13,"Dining Room, MIDC",GSL-Maribyrnong,
MB08-104,Emergency medical attention - off site,Major,28/05/08 1:24,Zone A,GSL-Maribyrnong,
MB08-98,Notification to State / Territory authorities,Minor,16/05/08 12:10,Main driveway into MIDC,GSL-Maribyrnong,
MB08-99,"Accident - To client, minor",Minor,17/05/08 11:05,Client Dining Room,GSL-Maribyrnong,
MB08-100,Emergency medical attention - off site,Major,24/05/08 12:10,Nurses station,GSL-Maribyrnong,
PE08-48,Use of instruments of restraint,Minor,24/05/08 10:46,Money street temple.,GSL-Perth,
PE08-49,Use of instruments of restraint,Minor,25/05/08 9:10,Mirrabooka,GSL-Perth,
PE08-47,Use of instruments of restraint,Minor,20/05/08 9:39,Perth District court,GSL-Perth,
PE08-46,Use of instruments of restraint,Minor,18/05/08 9:24,The Anglican Church Mirrabooka,GSL-Perth,
PE08-51,Use of instruments of restraint,Minor,31/05/08 10:55,"Money Street, Northbridge, Perth CBD",GSL-Perth,
PE08-52,Prohibited article - other - found,Minor,31/05/08 10:05,"Perth IDC, Area 1, Dorm 41",GSL-Perth,
PE08-53,Use of instruments of restraint,Minor,1/06/08 9:00,"Thyme Street, Mirrabooka",GSL-Perth,
PE08-59,Systems Failure,Major,11/06/08 9:55,PIDC,GSL-Perth,
PE08-60,Use of instruments of restraint,Minor,11/06/08 9:15,Escort,GSL-Perth,
PE08-58,Assault - allegation / suspicion - Client on client,Major,11/06/08 1:01,Area One mess,GSL-Perth,
PE08-55,Self Harm - Threatened,Major,6/06/08 4:00,Medical centre,GSL-Perth,
PE08-56,Use of instruments of restraint,Minor,7/06/08 10:53,Money Street Temple,GSL-Perth,
PE08-57,Use of instruments of restraint,Minor,8/06/08 9:00,Mirrabooka W.A.,GSL-Perth,
PE08-50,Use of instruments of restraint,Minor,28/05/08 10:46,Royal Perth Hospital,GSL-Perth,
PE08-54,Prohibited article - other - found,Minor,5/06/08 2:00,Dorm 43,GSL-Perth,
PE08-67,Prohibited article - other - found,Minor,20/06/08 6:30,Area One Client Dorms,GSL-Perth,
PE08-66,Use of instruments of restraint,Minor,19/06/08 8:45,Perth IDC,GSL-Perth,
PE08-61,Use of instruments of restraint,Minor,12/06/08 11:29,Royal Perth Hospital,GSL-Perth,
PE08-62,Media - Presence at facility,Major,12/06/08 12:45,DIAC Field Operation Willeton/Royal Perth Hospital,GSL-Perth,
PE08-63,Use of instruments of restraint,Minor,14/06/08 10:51,Money Street Temple Northbridge Perth CBD,GSL-Perth,
PE08-64,Escape from an immigration detention facility (includes mass escape) - Attempted,Major,15/06/08 2:18,Dorm 42 and Area 2 Yard,GSL-Perth,
PE08-65,Use of instruments of restraint,Minor,15/06/08 9:25,The Anglican Church Mirrabooka,GSL-Perth,
PE08-45,Use of instruments of restraint,Minor,10/05/08 11:19,Money Street Temple Northbridge Perth CBD,GSL-Perth,
PE08-43,Media - Approach staff/clients,Major,7/05/08 7:00,Whatley Crescent Mt Lawley Perth,GSL-Perth,
PE08-44,Prohibited article - other - found,Minor,8/05/08 3:30,Room 42,GSL-Perth,
PE08-41,Use of instruments of restraint,Minor,3/05/08 12:01,Money Street Temple Northbridge Perth CBD,GSL-Perth,
PE08-42,Removal - Aborted,Major,3/05/08 7:30,Perth ITB,GSL-Perth,
PE08-40,Systems Failure,Major,29/04/08 8:10,Perth IDC Control Room,GSL-Perth,
PE08-27,Use of instruments of restraint,Minor,12/03/08 5:56,Holyoake Medical Centre,GSL-Perth,
PE08-33,Use of instruments of restraint,Minor,9/04/08 8:33,Sally Port,GSL-Perth,
PE08-34,Media - Presence at facility,Major,11/04/08 1:45,Baker street,GSL-Perth,
PE08-37,Assault - not occasioning bodily harm - Client on client,Minor,19/04/08 11:37,Perth IDC Client Area Education Room,GSL-Perth,
PE08-38,Use of instruments of restraint,Minor,20/04/08 9:30,Acacia Prison,GSL-Perth,
PE08-36,Assault - allegation / suspicion - Client on client,Major,17/04/08 4:20,Area 1 Rec Room,GSL-Perth,
PE08-35,Use of instruments of restraint,Minor,16/04/08 5:40,PIDC and Holy Oake Medical centre,GSL-Perth,
PE08-39,Use of instruments of restraint,Minor,22/04/08 8:38,Perth IDC sally port,GSL-Perth,
PE08-15,Use of instruments of restraint,Minor,18/02/08 9:42,"Escort ""Midland Gate shopping centre""",GSL-Perth,
PE08-16,Use of instruments of restraint,Minor,18/02/08 10:10,HSA Medical certre Perth,GSL-Perth,
PE08-12,Use of instruments of restraint,Minor,13/02/08 5:59,On Escort,GSL-Perth,
PE08-8,Use of instruments of restraint,Minor,12/02/08 9:56,"Health Services Australia, Perth city",GSL-Perth,
PE08-10,Assault - not occasioning bodily harm - Other [eg. visitor],Minor,12/02/08 10:31,Perth IDC area 1 recreation area,GSL-Perth,
PE08-11,Use of instruments of restraint,Minor,12/02/08 6:02,On Escort,GSL-Perth,
PE08-6,Use of instruments of restraint,Minor,6/02/08 5:40,Holyoake rehabilitation Victoria park,GSL-Perth,
PE08-5,Use of instruments of restraint,Minor,4/02/08 10:51,PIDC Vehicle sallyport.,GSL-Perth,
PE08-4,Systems Failure,Major,30/01/08 8:05,Area 2 cage/generator area.,GSL-Perth,
PE08-3,Property - Missing,Minor,8/01/08 4:30,Bayswater waves.,GSL-Perth,
PE08-1,Damage to facility - Less serious,Minor,1/01/08 10:00,Area 1 ablutions.,GSL-Perth,
PE08-2,Removal - Aborted,Major,7/01/08 1:46,PIDC and ITB,GSL-Perth,
PE08-31,Use of instruments of restraint,Minor,2/04/08 5:50,Holyoake Rehabilitation Centre Perth,GSL-Perth,
PE08-30,Self Harm - Threatened,Major,20/03/08 11:00,Interview room 1,GSL-Perth,
PE08-28,Use of instruments of restraint,Minor,19/03/08 9:15,PIDC,GSL-Perth,
PE08-29,Use of instruments of restraint,Minor,19/03/08 9:17,Royal Perth Hospital,GSL-Perth,
PE08-17,Self Harm - Threatened,Major,18/02/08 4:45,Perth IDC,GSL-Perth,
PE08-23,Use of instruments of restraint,Minor,20/02/08 5:35,PIDC-Holyoake Ckinic,GSL-Perth,
PE08-18,Use of force - By staff,Major,19/02/08 11:10,PIDC Area One,GSL-Perth,
