id,type,severity,date,facility,description,location
1-5PXO1L,Voluntary starvation (<24 hrs),Minor,17/01/11,Scherger IDC,Client s. 47F(1) on Under 24 hours Voluntary Hunger Starvation.,"Alpha Accommodation Block, Scherger Immigration Detention Centre",
1-5PUQIM,Failure - IT Systems,Minor,17/01/11,Villawood IDC,"Power outage in the visits centre, parts of Dorm 3 and the Computer area next to Dorm 3",Blaxland VIDC,
1-5PX0YL,Assault - Minor,Minor,17/01/11,Gwalia Lodge,Group of clients fighting.,Room areas 52 to 59,
1-5PX0XI,Self Harm - Actual,Critical,17/01/11,North West Point Immigration Facility,Client s. 47F(1) - actual self harm - by cutting L forearm with a broken razor blade,Visits - NWP,
1-5PSW9J  ,Use of Observation Rm > 24 hrs,Major,17/01/11,Villawood IDC,Client s. 47F(1) in the Annex over 24 Hrs,Blaxland Annex,
1-5PSVWE ,Failure - IT Systems,Minor,17/01/11,Villawood IDC,Blaxland External Vehicle gate not closing fully advised by MSS Guard,Blaxland VIDC,
1-5PRSFY  ,Use of Observation Rm > 24 hrs,Major,17/01/11,Villawood IDC,Client s. 47F(1) has been in the Annex for over 24 hrs,Blaxland Annex VIDC,
1-5PRS14,Voluntary starvation (<24 hrs),Minor,17/01/11,Northern IDC,Client has missed 4 meals,North 1,
1-5Q6KTL,Voluntary  Starvation - End of,Minor,17/01/11,Scherger IDC,Client s. 47F(1) ended Voluntary Starvation.,"Mess, Scherger Immigration Detention",
1-5PXOCS ,Disturbance - Minor,Minor,17/01/11,Curtin IDC,Client s. 47F(1) id present at the admin gate and form a peaceful protest.,admin gates,
1-5PRS0J,Self Harm - Actual,Critical,17/01/11,Curtin IDC,Client s. 47F(1) self harmed in his room - Foxtrot 84 - .,"Room 84, Foxtrot Compound.",
1-5PQOP5 ,Self Harm - Actual,Critical,17/01/11,Curtin IDC,client s. 47F(1) presented with self inflicated injuries.,Charlie officers station,
1-5PO1LS,Escape - Attempted,Major,17/01/11,Melbourne ITA  ,client was found hinding in L clove behind MITA 2 doom rooms near rec room By CSW Binh Tran,Client was found hinding in L clove behind MITA 2 doom rooms near rec room By CSW Binh Tran,
1-5PIRD6,Damage - Minor,Minor,16/01/11,Northern IDC,Client s. 47F(1) boat holoo1 after being asked to leave internet on way out of enternet room he hti glass window in canteen breaking the glass.,The lodge 3 cecil ave Marrara darwin NT Canteen,
1-5PIQZV,Failure - IT Systems,Minor,16/01/11,Villawood IDC,South Roof Electric Fence is contantly activating on computer system.,Blaxland,
1-5PR27R,Complaint - re Minor Incident,Minor,16/01/11,Northern IDC,Sealed complaint envelopes received addressed to third party.,Northern IDC,
1-5PIFOG,Accident/Injury - Serious,Critical,16/01/11,Villawood IDC,Client s. 47F(1) admitted to Liverpool hospital.,Fowler Compound.,
1-5PIR02,Voluntary starvation (>24 hrs),Major,16/01/11,North West Point Immigration Facility,Client s. 47F(1) has not collected  or eaten food for >24hours,White 2 Compound,
1-5PQOYM ,Accident/Injury - Serious,Critical,16/01/11,North West Point Immigration Facility,"Client s. 47F(1) attended Aqua Officer with small wounds to his right hand and elbow. He advised CSO Saptarin and MSS Jaaf the he had slipped and fell over in the wet. The small wounds were cleaned and dressed by CSO Saptarin and medical staff were Aqua compound, LA IDS, Christmas advised.",Island,
1-5PIR2W,Abusive/Aggressive Behaviour,Minor,16/01/11,Gwalia Lodge,2 x clients arguing,Area outside Charlie 1,
1-5PIG0B,Accident/Injury - Serious,Critical,16/01/11,Curtin IDC,DuringClient Meal time in the mess client s. 47F(1) required emergency medical assistance.,"Medical Clinic, CIDC",
1-5PGMYX ,Disturbance - Minor,Minor,16/01/11,Melbourne ITA ,"s. 47F(1) attempted to take his lunch from the mess to his room when Serco officers informed the client that no food was to leave the mess area, the client protested and threw his tray of food",MITA Mess hall,
1-5PIFPI,Disturbance - Minor,Minor,16/01/11,Gwalia Lodge,"Power failure, Admin area and Laundry, Area 2","Area 2, Laundry,back of Wedgetail",
1-5PQOZE ,Damage - Minor,Minor,16/01/11,North West Point Immigration Facility,Unidentifiable Arabic clients dismantle volleyball court in White 2 Compound,White 2 Compound,
1-5PHNJM ,Accident/Injury - Serious,Critical,16/01/11,Maribyrnong IDC,Ambulance called for client s. 47F(1) from Zone E as client was complaining of chest pains and had symptoms of dizzyness and weakness. Client has been taken via ambulance to W.G.H.,P & A Hub ( Dinning Room 2 ),
1-5PIFI8,Assault - Minor,Major,16/01/11,North West Point Immigration Facility,Code Black in White 2 Compound. Resulting in alleged assault of one client.,White 2 Compound,
1-5PID45,Failure - IT Systems,Minor,16/01/11,Curtin IDC,Internet system in Administration Block and Client Internet Cafe went down.,Main Administration Block and Internet Cafe in Boab Compound,
1-5PGEHP ,Use of Force,Major,16/01/11,Villawood IDC,Client refused to leave Murray Compound to Blaxland,Murray Compound,
1-5PGEOG ,Abusive/Aggressive Behaviour,Minor,16/01/11,Villawood IDC,Abusive to Staff,Murray Compound,
1-5PGE9V  ,Assault - Minor,Major,16/01/11,Villawood IDC,Client Assaulted Staff during removal fromMurray to Blaxland Unit.,Murray Compound,
1-5PHZSO ,Voluntary starvation (>24 hrs),Major,16/01/11,Northern IDC,"Client missed fourth meal, breakfast 16-01-2011.","NIDC, North 1",
1-5PRSC5  ,Complaint - re Minor Incident,Minor,16/01/11,North West Point Immigration Facility,Client Complain s.47F(1) has been sent for translation and will not be resolved within timeframe,White 2,
1-5PRS71,Complaint - re Minor Incident,Minor,16/01/11,North West Point Immigration Facility,Client Complain s.47F(1) has not been resolved within timeframe.,Visits,
1-5PRRTP  ,Complaint - re Minor Incident,Minor,16/01/11,North West Point Immigration Facility,"Client Complain s.47F(1) has been resolved, however notification of resolution not sent within timeframe.",White Compound,
1-5P7T4O,Damage - Minor,Minor,16/01/11,Villawood IDC,Metal window grate found to be very loose.,Hughes Compound Shoalhaven 5b,
1-5PGMTM ,Disturbance - Minor,Minor,16/01/11,Northern IDC,Argument between clients.,"North 1 Cabana, NIDC.",
1-5P8H9X,Use of Observation Rm > 24 hrs,Major,15/01/11,Villawood IDC,Client s. 47F(1) now in Murray Unit over 24hrs.,Murray Unit.,
1-5P7SPO  ,Accident/Injury - Serious,Critical,15/01/11,Curtin IDC,Client s. 47F(1) as tranfered to Derby Hospital,Curtin IDC,
1-5PGE22,Self Harm - Threatened,Major,15/01/11,North West Point Immigration Facility,Client s. 47F(1) threaten self harm if DIAC does not speak with him in the next three days.,White 2 - Activities 2,
1-5PGML6  ,Voluntary starvation (<24 hrs),Minor,15/01/11,North West Point Immigration Facility,Client s. 47F(1) has now not eaten 3 consecutive meals and is refusing to eat further.,White 2 Compound - Activities 2,
1-5P6R74,Disturbance - Minor,Minor,15/01/11,Northern IDC,Altercation between two clients (minors).,"Berrimah House, Darwin.",
1-5P63Z0,Self Harm - Actual,Critical,15/01/11,Villawood IDC,Client s. 47F(1) self harm actual in Annex,Blaxland,
1-5P6GOA ,Accident/Injury - Serious,Critical,15/01/11,Curtin IDC,MSS Staff member attended medical centre due to pain in her right buttock.,Juilet 5 CIDC,
1-5P6GFL,Complaint - re Minor Incident,Minor,15/01/11,Northern IDC,Three  sealed complaints received addressed to third party.,NIDC,
1-5QSDZ8  ,Complaint - re Minor Incident,Minor,15/01/11,Northern IDC,Complaints not resolved within 3 days.,Northern IDC,
1-5P65HM  ,Accident/Injury - Serious,Critical,15/01/11,Inverbrackie APOD,"Serco staff attending house 124 s. 47F(1) complaining of server chest pains, SA Ambulance attending, escorted off site for further medical treatment.","Royal Adelaide Hospital, North Terrace Adelaide 5000",
1-5OYJG4,Disturbance - Minor,Minor,15/01/11,Melbourne ITA,client became upset that he was not allowed yohgart,MITA 1main kitchen area,
1-5OYJO0,Complaint - re Minor Incident,Minor,14/01/11,North West Point Immigration Facility,As per advised by OPS Andrew Neville Complaint s. 47F(1) has not been resolve within 3 days,Aqua,
1-5OYJNQ ,Complaint - re Minor Incident,Minor,14/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolve within 3 days,LA Compound ( Aqua ),
1-5OXQNF ,Accident/Injury - Serious,Critical,14/01/11,Sydney IRH,Client s. 47F(1) presented to IRH staff with rash over body.The said client is a 4year old female child.,Sydney IRH office,
1-5OXQME ,Assault - Not OBH,Minor,14/01/11,Villawood IDC,Client s. 47F(1) assaulted A/CSM's V.Smith and M.Matthews.,Hughes Compound.,
1-5P7TC6,Accident/Injury - Serious,Critical,14/01/11,Christmas Island,Client attended meduical centre complaining of severe stomach pains. Prescribed medication did not alleviate pain. Transported to CI Hospital;. Admitted at 2145 hours overnight. At present clientl in hospital.,Phosphate Hill Construction Camp.,
1-5OXQHO ,Accident/Injury - Serious,Critical,14/01/11,Melbourne ITA  ,client expressed medical complications,MITA One Room Number 1,
1-5OYALI,Disturbance - Minor,Minor,14/01/11,Melbourne ITA  ,client became upset at not being allowed to enter main mess at MITA 2 due mess eating time had ceased,MITA 2 MAIN MESS,
1-5P6G9T,Accident/Injury - Serious,Critical,14/01/11,Inverbrackie APOD,"Serco Staff called to attend house 144 minor clien minor client s. 47F(1) high temperature IHMS notified and attended, further medical treatment required, arrangements made to transport via ambulance for further treatment.",Mount Barker District Soldiers Memorial Hospital. Public Hospital Telephone: ( 08) 8393 1777; Fax: (08) 8393 1700; Address: Wellington Road ...,
1-5PVTDM ,Assault - Minor,Major,14/01/11,North West Point Immigration Facility,Client s. 47F(1) allegedly assaulted s. 47F(1),Green 1 Compound,
1-5Q4Y64,Assault - Minor,Major,14/01/11,North West Point Immigration Facility,Client s. 47F(1) allegedly assaulted s. 47F(1),Green 1 Compound,
1-5PVT0W ,Assault - Minor,Major,14/01/11,North West Point Immigration Facility,Client s. 47F(1) allegedly assaulted s. 47F(1),Green 1 Compound,
1-5OXNLI,Disturbance - Minor,Minor,14/01/11,North West Point Immigration Facility,Minor Disturbance in Green 1 Compound involving a large group of Kurdish and Burmese clients.,NWP - Green 1,
1-5OX6L6,Accident/Injury - Serious,Critical,14/01/11,Curtin IDC,RFS received to transport client to the Derby hospital,CIDC Medical centre.,
1-5OX6KZ,Accident/Injury - Serious,Critical,14/01/11,Curtin IDC,Received RFS to transfer client to derby hospital,CIDC,
1-5OXQ6K ,Complaint - re Minor Incident,Minor,14/01/11,North West Point Immigration Facility,Client Complain s. 47F(1) requires further invesitgation and will not be resolved within timeframe. Interim letter sent to client today.,NWP - Gold 2,
1-5T8VM9,Theft,Minor,14/01/11,Melbourne ITA,Client s. 47F(1) submitted complaint about someone taking his phone cards from his room.  Complaint and investigation process begun.,Room 26 - MITA 2,
1-5OX6B0,Disturbance - Minor,Minor,14/01/11,Curtin IDC,Code black initiated by SERCO staff member to Delta gym.,Delta Gym CIDC,
1-5OX6KA  ,Abusive/Aggressive Behaviour,Minor,14/01/11,Northern IDC,Client behaving in aggressive manner towards staffs,ASTI Motel,
1-5OV9PA  ,Accident/Injury - Serious,Critical,14/01/11,Inverbrackie APOD,CLient transported to RAH by Ambyulance,House 109,
1-5OW6XY ,Demonstration - Onsite,Major,14/01/11,Northern IDC,Family of clients protest an issues on Lawn at ASTI Motel Darwin,ASTI,
1-5OW70S ,Assault - Minor,Major,14/01/11,Northern IDC,Client has made allegation of assault by DIAC officer.,"ASTI Motel, Darwin.",
1-5OV9JJ,Accident/Injury - Serious,Critical,14/01/11,Curtin IDC,Canteen staff member bitten by spider,Canteen CIDC,
1-5OX60P,Self Harm - Threatened,Major,14/01/11,North West Point Immigration Facility,Self Harm - Attempted by Client s. 47F(1) ,NWP Visits Centre,
1-5OV9KO,Assault - Minor,Major,14/01/11,Curtin IDC,"Client s. 47F(1) had a disagreement. s. 47F(1) began verbal abuse, s. 47F(1) took offence to abuse being about his family. s. 47F(1) tussled but were separated by other clients in Echo Compound",Echo Compound CIDC,
1-5OUELB  ,Accident/Injury - Serious,Critical,14/01/11,Northern IDC,"Client s. 47F(1) escorted to RDH by ambulance,suffering from suspected cardiac related problems",Royal Darwin Hospital,
1-5ORC7O ,Contraband found,Minor,14/01/11,Villawood IDC,Room Clearance conducted of client s. 47F(1) a small amount of liquid substance found.,Dorm 3 Blaxland VIDC,
1-5ORC0D,Complaint - re Minor Incident,Minor,14/01/11,Northern IDC,Two sealed complaints received addressed to third party.,NIDC,
1-5Q4Y8O  ,Assault - Minor,Major,14/01/11,North West Point Immigration Facility,Client s. 47F(1) allegedly assaulted s. 47F(1),Green 1 Compound,
1-5OIS38,Self Harm - Actual,Critical,14/01/11,Scherger IDC,Client s. 47F(1) actual self harmed.,"Bravo Accommodation, Scherger Immigration Centre",
1-5OQIU8,Accident/Injury - Serious,Critical,14/01/11,Brisbane ITA,Client complained about pains in lower back region. Client escorted to Royal Brisbane Hospital as advised by IHMS Triage Line.,From Virginia Palms Motel  APOD to Royal Brisbane Hospital,
1-5OJ9Q7,Self Harm - Actual,Critical,13/01/11,North West Point Immigration Facility,Client s. 47F(1) repeatedly punched the wall with his right fist and also hit the wall with his head several times.,AQUA Compound,
1-5OJ9F2,Self Harm - Actual,Critical,13/01/11,Northern IDC,client found on bathroom floor small pool of blood had put superfical wounds on right fore and also on l eft fore arm ovver previous cuts. both arms cover with bandages and client removed to room 95 and placed on constants as was on moderate prior. ,DAL the Lodge 3 cecil ave Marrara darwin n.t,
1-5OIV30,Damage - Minor,Minor,13/01/11,Perth IDC,"Shade sail 1 side canvas has ripped on the corner and fell off, no one is injured. Several Attemps to contact DIAC but the on call phone was unreachable from 1950 Hours",Area 2 Yard,
1-5OPBIW  ,Disturbance - Minor,Minor,13/01/11,North West Point Immigration Facility,"Client s. 47F(1) demanded he have a shower and get a new change of clothes, while holding a razorblade.  (all times are christmas island times)",Visits area,
1-5OIUGG  ,Contraband found,Minor,13/01/11,Villawood IDC,All rooms in Dorm 3 in Blaxland were searched by Serco staff and prohibited articles were found in different client rooms.,Blaxland Dorm 3,
1-5OIMF9,Complaint - re Minor Incident,Minor,13/01/11,North West Point Immigration Facility,Complaint s. 47F(1) has not been resolved within 3 days.,Lilac,
1-5OIMEG  ,Complaint - re Minor Incident,Minor,13/01/11,North West Point Immigration Facility,Complaint s. 47F(1) has not been resolve within 3 days.,Aqua,
1-5OS5EI,Damage - Minor,Minor,13/01/11,Melbourne ITA  ,Client s. 47F(1) informed Serco officers that his bedroom window was broken. Officers checked the window and the sighted that the window glass was smashed.,MITA room 38,
1-5OGQFB ,Assault - Serious,Critical,13/01/11,Scherger IDC,A female member of Serco staff has made a verbal allegation of sexual assault against client s.47F(1) The alleged incident is under investigation. The female member of Serco Staff will not be named at this stage,"Schergerunit ""A""   IDC client accommodation",
1-5OGXDE ,Voluntary starvation (>24 hrs),Major,13/01/11,Curtin IDC,Client continues hunger strike,CIDC,
1-5OG0HC ,Disturbance - Minor,Minor,13/01/11,Northern IDC,Client broke some chairs during interview.,North Interview rooms.,
